cuda: True
Files already downloaded and verified
Files already downloaded and verified
2000
/home/ec2-user/anaconda3/lib/python3.9/site-packages/torch/utils/data/dataloader.py
Epoch 0 Train Loss: 32.35524244606495
Epoch: 0 True Loss: 348.67832350730896
Epoch: 0 Val Acc: 0.3096774193548387
Epoch 1 Train Loss: 31.150792822241783
Epoch: 1 True Loss: 309.4775342941284
Epoch: 1 Val Acc: 0.37806451612903225
Epoch 2 Train Loss: 29.496244117617607
Epoch: 2 True Loss: 310.2922160625458
Epoch: 2 Val Acc: 0.3909677419354839
Epoch 3 Train Loss: 28.90435916185379
Epoch: 3 True Loss: 296.8380147218704
Epoch: 3 Val Acc: 0.44516129032258067
Epoch 4 Train Loss: 28.44597737491131
Epoch: 4 True Loss: 298.4096392393112
Epoch: 4 Val Acc: 0.42451612903225805
Epoch 5 Train Loss: 28.305686980485916
Epoch: 5 True Loss: 300.6920118331909
Epoch: 5 Val Acc: 0.3832258064516129
Epoch 6 Train Loss: 28.15046414732933
Epoch: 6 True Loss: 294.39358627796173
Epoch: 6 Val Acc: 0.45806451612903226
Epoch 7 Train Loss: 28.104858085513115
Epoch: 7 True Loss: 302.5787045955658
Epoch: 7 Val Acc: 0.4503225806451613
Epoch 8 Train Loss: 27.641006395220757
Epoch: 8 True Loss: 289.9435613155365
Epoch: 8 Val Acc: 0.4967741935483871
Epoch 9 Train Loss: 27.655469208955765
Epoch: 9 True Loss: 300.1667274236679
Epoch: 9 Val Acc: 0.44
Epoch 10 Train Loss: 27.700930416584015
Epoch: 10 True Loss: 292.8802387714386
Epoch: 10 Val Acc: 0.49548387096774194
Epoch 11 Train Loss: 27.606753543019295
Epoch: 11 True Loss: 298.32350623607635
Epoch: 11 Val Acc: 0.4270967741935484
Epoch 12 Train Loss: 27.586363956332207
Epoch: 12 True Loss: 302.08641386032104
Epoch: 12 Val Acc: 0.39483870967741935
Epoch 13 Train Loss: 27.52196614444256
Epoch: 13 True Loss: 291.694051861763
Epoch: 13 Val Acc: 0.5096774193548387
Epoch 14 Train Loss: 27.50822603702545
Epoch: 14 True Loss: 290.27461075782776
Epoch: 14 Val Acc: 0.46580645161290324
Epoch 15 Train Loss: 27.501798793673515
Epoch: 15 True Loss: 291.44574880599976
Epoch: 15 Val Acc: 0.45806451612903226
Epoch 16 Train Loss: 27.351774111390114
Epoch: 16 True Loss: 292.1962779760361
Epoch: 16 Val Acc: 0.5058064516129033
Epoch 17 Train Loss: 27.37095721065998
Epoch: 17 True Loss: 297.0917330980301
Epoch: 17 Val Acc: 0.45806451612903226
Epoch 18 Train Loss: 27.381106302142143
Epoch: 18 True Loss: 295.64873027801514
Epoch: 18 Val Acc: 0.44
Epoch 19 Train Loss: 27.29961720108986
Epoch: 19 True Loss: 287.41244304180145
Epoch: 19 Val Acc: 0.5187096774193548
Epoch 20 Train Loss: 27.200822547078133
Epoch: 20 True Loss: 289.7218381166458
Epoch: 20 Val Acc: 0.52
Epoch 21 Train Loss: 27.346124157309532
Epoch: 21 True Loss: 290.5684382915497
Epoch: 21 Val Acc: 0.4735483870967742
Epoch 22 Train Loss: 27.04265047609806
Epoch: 22 True Loss: 294.1887069940567
Epoch: 22 Val Acc: 0.43483870967741933
Epoch 23 Train Loss: 27.10891281068325
Epoch: 23 True Loss: 292.56057572364807
Epoch: 23 Val Acc: 0.447741935483871
Epoch 24 Train Loss: 27.143214166164398
Epoch: 24 True Loss: 285.6330256462097
Epoch: 24 Val Acc: 0.5058064516129033
Epoch 25 Train Loss: 27.228217273950577
Epoch: 25 True Loss: 291.36209189891815
Epoch: 25 Val Acc: 0.4464516129032258
Epoch 26 Train Loss: 26.88575679063797
Epoch: 26 True Loss: 299.9619046449661
Epoch: 26 Val Acc: 0.40258064516129033
Epoch 27 Train Loss: 27.30546924471855
Epoch: 27 True Loss: 292.10650503635406
Epoch: 27 Val Acc: 0.4696774193548387
Epoch 28 Train Loss: 26.9916885048151
Epoch: 28 True Loss: 292.3809847831726
Epoch: 28 Val Acc: 0.46580645161290324
Epoch 29 Train Loss: 26.839201346039772
Epoch: 29 True Loss: 291.1555676460266
Epoch: 29 Val Acc: 0.49290322580645163
Epoch 30 Train Loss: 27.097976803779602
Epoch: 30 True Loss: 289.6566364765167
Epoch: 30 Val Acc: 0.4916129032258065
Epoch 31 Train Loss: 27.094134345650673
Epoch: 31 True Loss: 292.52315723896027
Epoch: 31 Val Acc: 0.47096774193548385
Epoch 32 Train Loss: 27.030745640397072
Epoch: 32 True Loss: 284.71264815330505
Epoch: 32 Val Acc: 0.5303225806451612
Epoch 33 Train Loss: 26.884799137711525
Epoch: 33 True Loss: 285.7668606042862
Epoch: 33 Val Acc: 0.5058064516129033
Epoch 34 Train Loss: 26.8534577190876
Epoch: 34 True Loss: 284.7370283603668
Epoch: 34 Val Acc: 0.5316129032258065
Epoch 35 Train Loss: 26.99514290690422
Epoch: 35 True Loss: 289.4000835418701
Epoch: 35 Val Acc: 0.47870967741935483
Epoch 36 Train Loss: 27.03128543496132
Epoch: 36 True Loss: 286.91814410686493
Epoch: 36 Val Acc: 0.46838709677419355
Epoch 37 Train Loss: 26.857833087444305
Epoch: 37 True Loss: 288.0696748495102
Epoch: 37 Val Acc: 0.5032258064516129
Epoch 38 Train Loss: 26.991607934236526
Epoch: 38 True Loss: 287.2049822807312
Epoch: 38 Val Acc: 0.5148387096774194
Epoch 39 Train Loss: 27.051845833659172
Epoch: 39 True Loss: 289.9665056467056
Epoch: 39 Val Acc: 0.4632258064516129
Epoch 40 Train Loss: 27.001749604940414
Epoch: 40 True Loss: 287.9824148416519
Epoch: 40 Val Acc: 0.48516129032258065
Epoch 41 Train Loss: 27.226526156067848
Epoch: 41 True Loss: 287.23561704158783
Epoch: 41 Val Acc: 0.48258064516129034
Epoch 42 Train Loss: 26.912816375494003
Epoch: 42 True Loss: 287.9096109867096
Epoch: 42 Val Acc: 0.49032258064516127
Epoch 43 Train Loss: 26.925612345337868
Epoch: 43 True Loss: 283.6382089853287
Epoch: 43 Val Acc: 0.5225806451612903
Epoch 44 Train Loss: 26.665519535541534
Epoch: 44 True Loss: 294.2308692932129
Epoch: 44 Val Acc: 0.47096774193548385
Epoch 45 Train Loss: 26.937705621123314
Epoch: 45 True Loss: 287.1858059167862
Epoch: 45 Val Acc: 0.4645161290322581
Epoch 46 Train Loss: 26.74136121571064
Epoch: 46 True Loss: 283.2950482368469
Epoch: 46 Val Acc: 0.5006451612903225
Epoch 47 Train Loss: 26.690377667546272
Epoch: 47 True Loss: 288.09631514549255
Epoch: 47 Val Acc: 0.52
Epoch 48 Train Loss: 26.735419049859047
Epoch: 48 True Loss: 285.19371700286865
Epoch: 48 Val Acc: 0.49290322580645163
Epoch 49 Train Loss: 26.638471081852913
Epoch: 49 True Loss: 286.4766982793808
Epoch: 49 Val Acc: 0.47870967741935483
Epoch 50 Train Loss: 26.398875132203102
Epoch: 50 True Loss: 289.46036887168884
Epoch: 50 Val Acc: 0.4593548387096774
Epoch 51 Train Loss: 26.682619139552116
Epoch: 51 True Loss: 285.0060603618622
Epoch: 51 Val Acc: 0.48774193548387096
Epoch 52 Train Loss: 26.777076557278633
Epoch: 52 True Loss: 288.5899301767349
Epoch: 52 Val Acc: 0.49290322580645163
Epoch 53 Train Loss: 26.504590913653374
Epoch: 53 True Loss: 287.7866268157959
Epoch: 53 Val Acc: 0.48129032258064514
Epoch 54 Train Loss: 26.818286925554276
Epoch: 54 True Loss: 289.55510342121124
Epoch: 54 Val Acc: 0.4890322580645161
Epoch 55 Train Loss: 26.86964437365532
Epoch: 55 True Loss: 283.7719557285309
Epoch: 55 Val Acc: 0.5277419354838709
Epoch 56 Train Loss: 26.607425585389137
Epoch: 56 True Loss: 288.63785886764526
Epoch: 56 Val Acc: 0.5187096774193548
Epoch 57 Train Loss: 26.616369903087616
Epoch: 57 True Loss: 282.7371242046356
Epoch: 57 Val Acc: 0.5303225806451612
Epoch 58 Train Loss: 26.519275963306427
Epoch: 58 True Loss: 295.8550320863724
Epoch: 58 Val Acc: 0.48
Epoch 59 Train Loss: 26.613115444779396
Epoch: 59 True Loss: 286.61420834064484
Epoch: 59 Val Acc: 0.49290322580645163
Epoch 60 Train Loss: 26.401351377367973
Epoch: 60 True Loss: 284.409526348114
Epoch: 60 Val Acc: 0.5135483870967742
Epoch 61 Train Loss: 26.541024461388588
Epoch: 61 True Loss: 281.453528881073
Epoch: 61 Val Acc: 0.5187096774193548
Epoch 62 Train Loss: 26.55165931582451
Epoch: 62 True Loss: 284.070881485939
Epoch: 62 Val Acc: 0.5135483870967742
Epoch 63 Train Loss: 26.901933684945107
Epoch: 63 True Loss: 288.90808165073395
Epoch: 63 Val Acc: 0.472258064516129
Epoch 64 Train Loss: 26.801657050848007
Epoch: 64 True Loss: 284.506728887558
Epoch: 64 Val Acc: 0.5380645161290323
Epoch 65 Train Loss: 26.514752745628357
Epoch: 65 True Loss: 283.92215180397034
Epoch: 65 Val Acc: 0.5329032258064517
Epoch 66 Train Loss: 26.646516755223274
Epoch: 66 True Loss: 285.2354632616043
Epoch: 66 Val Acc: 0.5109677419354839
Epoch 67 Train Loss: 26.430904805660248
Epoch: 67 True Loss: 288.3649479150772
Epoch: 67 Val Acc: 0.48516129032258065
Epoch 68 Train Loss: 26.51644253730774
Epoch: 68 True Loss: 286.80458676815033
Epoch: 68 Val Acc: 0.5083870967741936
Epoch 69 Train Loss: 26.532627925276756
Epoch: 69 True Loss: 284.33387219905853
Epoch: 69 Val Acc: 0.5032258064516129
Epoch 70 Train Loss: 26.50383833050728
Epoch: 70 True Loss: 285.5032614469528
Epoch: 70 Val Acc: 0.4993548387096774
Epoch 71 Train Loss: 26.713296994566917
Epoch: 71 True Loss: 284.61443650722504
Epoch: 71 Val Acc: 0.512258064516129
Epoch 72 Train Loss: 26.722987785935402
Epoch: 72 True Loss: 286.1914578676224
Epoch: 72 Val Acc: 0.5251612903225806
Epoch 73 Train Loss: 26.376217156648636
Epoch: 73 True Loss: 284.21450531482697
Epoch: 73 Val Acc: 0.5174193548387097
Epoch 74 Train Loss: 26.770428150892258
Epoch: 74 True Loss: 284.8726806640625
Epoch: 74 Val Acc: 0.5148387096774194
Epoch 75 Train Loss: 26.481708258390427
Epoch: 75 True Loss: 284.53864216804504
Epoch: 75 Val Acc: 0.5174193548387097
Epoch 76 Train Loss: 26.393767923116684
Epoch: 76 True Loss: 285.6379268169403
Epoch: 76 Val Acc: 0.5096774193548387
Epoch 77 Train Loss: 26.608808234333992
Epoch: 77 True Loss: 285.717147231102
Epoch: 77 Val Acc: 0.5238709677419355
Epoch 78 Train Loss: 26.460386127233505
Epoch: 78 True Loss: 288.50886034965515
Epoch: 78 Val Acc: 0.48516129032258065
Epoch 79 Train Loss: 26.73614637553692
Epoch: 79 True Loss: 285.05766344070435
Epoch: 79 Val Acc: 0.4670967741935484
Epoch 80 Train Loss: 26.556379169225693
Epoch: 80 True Loss: 285.3639966249466
Epoch: 80 Val Acc: 0.49032258064516127
Epoch 81 Train Loss: 26.52623550593853
Epoch: 81 True Loss: 289.0993341207504
