cuda: True
Files already downloaded and verified
Files already downloaded and verified
2000
/opt/conda/envs/pytorch/lib/python3.9/site-packages/torch/utils/data/dataloader.py
Epoch 0 Train Loss: 385.7895724773407
Epoch: 0 True Loss: 419.85689693689346
Epoch: 0 Val Acc: 0.1565
Epoch 1 Train Loss: 374.25963431596756
Epoch: 1 True Loss: 422.5776798725128
Epoch: 1 Val Acc: 0.1585
Epoch 2 Train Loss: 370.7408136129379
Epoch: 2 True Loss: 408.0358175635338
Epoch: 2 Val Acc: 0.1935
Epoch 3 Train Loss: 378.1831013560295
Epoch: 3 True Loss: 423.59867030382156
Epoch: 3 Val Acc: 0.1535
Epoch 4 Train Loss: 378.81575751304626
Epoch: 4 True Loss: 430.8866686820984
Epoch: 4 Val Acc: 0.129
Epoch 5 Train Loss: 378.3413946032524
Epoch: 5 True Loss: 422.71593379974365
Epoch: 5 Val Acc: 0.158
Epoch 6 Train Loss: 373.50152266025543
Epoch: 6 True Loss: 417.7659978866577
Epoch: 6 Val Acc: 0.171
Epoch 7 Train Loss: 371.29616832733154
Epoch: 7 True Loss: 418.8132874965668
Epoch: 7 Val Acc: 0.166
Epoch 8 Train Loss: 368.8384336233139
Epoch: 8 True Loss: 413.1675649881363
Epoch: 8 Val Acc: 0.1775
Epoch 9 Train Loss: 368.0021268725395
Epoch: 9 True Loss: 418.92402559518814
Epoch: 9 Val Acc: 0.1725
Epoch 10 Train Loss: 375.2368098497391
Epoch: 10 True Loss: 426.0174664258957
Epoch: 10 Val Acc: 0.1575
Epoch 11 Train Loss: 378.49478620290756
Epoch: 11 True Loss: 428.68347799777985
Epoch: 11 Val Acc: 0.1455
Epoch 12 Train Loss: 379.4725168943405
Epoch: 12 True Loss: 424.6222976446152
Epoch: 12 Val Acc: 0.146
Epoch 13 Train Loss: 376.3971343636513
Epoch: 13 True Loss: 423.83717852830887
Epoch: 13 Val Acc: 0.1455
Epoch 14 Train Loss: 372.8904721736908
Epoch: 14 True Loss: 414.6169204711914
Epoch: 14 Val Acc: 0.175
Epoch 15 Train Loss: 372.3054208159447
Epoch: 15 True Loss: 414.7001303434372
Epoch: 15 Val Acc: 0.183
Epoch 16 Train Loss: 361.9633414745331
Epoch: 16 True Loss: 409.5412054657936
Epoch: 16 Val Acc: 0.193
Epoch 17 Train Loss: 356.21053594350815
Epoch: 17 True Loss: 403.0015694499016
Epoch: 17 Val Acc: 0.1965
Epoch 18 Train Loss: 351.5193412899971
Epoch: 18 True Loss: 391.02529978752136
Epoch: 18 Val Acc: 0.224
Epoch 19 Train Loss: 348.031909763813
Epoch: 19 True Loss: 396.7123035788536
Epoch: 19 Val Acc: 0.218
Epoch 20 Train Loss: 346.3977270722389
Epoch: 20 True Loss: 402.75398963689804
Epoch: 20 Val Acc: 0.203
Epoch 21 Train Loss: 344.8483979701996
Epoch: 21 True Loss: 391.5202446579933
Epoch: 21 Val Acc: 0.226
Epoch 22 Train Loss: 340.66229516267776
Epoch: 22 True Loss: 378.0269161462784
Epoch: 22 Val Acc: 0.2445
Epoch 23 Train Loss: 336.4426929950714
Epoch: 23 True Loss: 378.94786137342453
Epoch: 23 Val Acc: 0.2475
Epoch 24 Train Loss: 335.76228564977646
Epoch: 24 True Loss: 380.03490084409714
Epoch: 24 Val Acc: 0.2615
Epoch 25 Train Loss: 333.5069428086281
Epoch: 25 True Loss: 373.23513954877853
Epoch: 25 Val Acc: 0.2665
Epoch 26 Train Loss: 331.350288271904
Epoch: 26 True Loss: 367.49435806274414
Epoch: 26 Val Acc: 0.2805
Epoch 27 Train Loss: 330.07303792238235
Epoch: 27 True Loss: 369.164758682251
Epoch: 27 Val Acc: 0.271
Epoch 28 Train Loss: 326.9891754388809
Epoch: 28 True Loss: 367.22911328077316
Epoch: 28 Val Acc: 0.2705
Epoch 29 Train Loss: 325.62453243136406
Epoch: 29 True Loss: 362.6719328761101
Epoch: 29 Val Acc: 0.2935
Epoch 30 Train Loss: 324.2362422943115
Epoch: 30 True Loss: 361.1918705701828
Epoch: 30 Val Acc: 0.2875
Epoch 31 Train Loss: 321.1917178630829
Epoch: 31 True Loss: 357.57414162158966
Epoch: 31 Val Acc: 0.2975
Epoch 32 Train Loss: 321.99704697728157
Epoch: 32 True Loss: 360.10361701250076
Epoch: 32 Val Acc: 0.3015
Epoch 33 Train Loss: 319.50595012307167
Epoch: 33 True Loss: 359.61582005023956
Epoch: 33 Val Acc: 0.291
Epoch 34 Train Loss: 319.6812475323677
Epoch: 34 True Loss: 353.45091688632965
Epoch: 34 Val Acc: 0.3135
Epoch 35 Train Loss: 315.5934005379677
Epoch: 35 True Loss: 352.49906969070435
Epoch: 35 Val Acc: 0.302
Epoch 36 Train Loss: 317.53075394034386
Epoch: 36 True Loss: 358.3086250424385
Epoch: 36 Val Acc: 0.2995
Epoch 37 Train Loss: 316.3163837790489
Epoch: 37 True Loss: 351.1466889977455
Epoch: 37 Val Acc: 0.2975
Epoch 38 Train Loss: 312.8865613043308
Epoch: 38 True Loss: 353.1097020506859
Epoch: 38 Val Acc: 0.2985
Epoch 39 Train Loss: 308.3257689476013
Epoch: 39 True Loss: 341.3272929787636
Epoch: 39 Val Acc: 0.332
Epoch 40 Train Loss: 307.7592764496803
Epoch: 40 True Loss: 340.1955155134201
Epoch: 40 Val Acc: 0.325
Epoch 41 Train Loss: 303.9162300527096
Epoch: 41 True Loss: 337.7280660867691
Epoch: 41 Val Acc: 0.3295
Epoch 42 Train Loss: 304.75930827856064
Epoch: 42 True Loss: 338.489259660244
Epoch: 42 Val Acc: 0.334
Epoch 43 Train Loss: 303.1504082083702
Epoch: 43 True Loss: 334.33459013700485
Epoch: 43 Val Acc: 0.343
Epoch 44 Train Loss: 302.30079036951065
Epoch: 44 True Loss: 333.7993463277817
Epoch: 44 Val Acc: 0.3375
Epoch 45 Train Loss: 300.76931807398796
Epoch: 45 True Loss: 334.1261137127876
Epoch: 45 Val Acc: 0.349
Epoch 46 Train Loss: 300.69592532515526
Epoch: 46 True Loss: 333.3815996646881
Epoch: 46 Val Acc: 0.3405
Epoch 47 Train Loss: 300.1163075864315
Epoch: 47 True Loss: 333.8075203895569
Epoch: 47 Val Acc: 0.343
Epoch 48 Train Loss: 299.18745669722557
Epoch: 48 True Loss: 329.951962351799
Epoch: 48 Val Acc: 0.349
Epoch 49 Train Loss: 296.1453547179699
Epoch: 49 True Loss: 331.17480289936066
Epoch: 49 Val Acc: 0.3475
Epoch 50 Train Loss: 298.50229185819626
Epoch: 50 True Loss: 327.87424099445343
Epoch: 50 Val Acc: 0.342
Epoch 51 Train Loss: 294.58799690008163
Epoch: 51 True Loss: 332.49019849300385
Epoch: 51 Val Acc: 0.352
Epoch 52 Train Loss: 295.7694955468178
Epoch: 52 True Loss: 332.81614887714386
Epoch: 52 Val Acc: 0.352
Epoch 53 Train Loss: 297.9093779325485
Epoch: 53 True Loss: 333.63360726833344
Epoch: 53 Val Acc: 0.333
Epoch 54 Train Loss: 296.82868215441704
Epoch: 54 True Loss: 329.4886679649353
Epoch: 54 Val Acc: 0.349
Epoch 55 Train Loss: 295.31967678666115
Epoch: 55 True Loss: 326.48601204156876
Epoch: 55 Val Acc: 0.343
Epoch 56 Train Loss: 293.97604808211327
Epoch: 56 True Loss: 327.43642139434814
Epoch: 56 Val Acc: 0.3535
Epoch 57 Train Loss: 292.0203262269497
Epoch: 57 True Loss: 325.930681347847
Epoch: 57 Val Acc: 0.3635
Epoch 58 Train Loss: 293.6581242978573
Epoch: 58 True Loss: 323.71193701028824
Epoch: 58 Val Acc: 0.3675
Epoch 59 Train Loss: 292.2398363649845
Epoch: 59 True Loss: 322.9079419076443
Epoch: 59 Val Acc: 0.3595
Epoch 60 Train Loss: 292.08446022868156
Epoch: 60 True Loss: 325.15274012088776
Epoch: 60 Val Acc: 0.3585
Epoch 61 Train Loss: 290.24971410632133
Epoch: 61 True Loss: 327.5551598072052
Epoch: 61 Val Acc: 0.36
Epoch 62 Train Loss: 290.3519963026047
Epoch: 62 True Loss: 327.6320892572403
Epoch: 62 Val Acc: 0.3645
Epoch 63 Train Loss: 292.214711278677
Epoch: 63 True Loss: 324.3530237674713
Epoch: 63 Val Acc: 0.355
Epoch 64 Train Loss: 291.265701174736
Epoch: 64 True Loss: 321.7906286716461
Epoch: 64 Val Acc: 0.359
Epoch 65 Train Loss: 292.9934530556202
Epoch: 65 True Loss: 332.55820482969284
Epoch: 65 Val Acc: 0.347
Epoch 66 Train Loss: 289.450125426054
Epoch: 66 True Loss: 327.4935912489891
Epoch: 66 Val Acc: 0.3635
Epoch 67 Train Loss: 288.6035796403885
Epoch: 67 True Loss: 315.99781146645546
Epoch: 67 Val Acc: 0.375
Epoch 68 Train Loss: 291.84910076856613
Epoch: 68 True Loss: 332.92545992136
Epoch: 68 Val Acc: 0.3455
Epoch 69 Train Loss: 290.4082002937794
Epoch: 69 True Loss: 320.96605706214905
Epoch: 69 Val Acc: 0.369
Epoch 70 Train Loss: 290.51866313815117
Epoch: 70 True Loss: 319.5708192586899
Epoch: 70 Val Acc: 0.375
Epoch 71 Train Loss: 289.18399745225906
Epoch: 71 True Loss: 325.1757636666298
Epoch: 71 Val Acc: 0.353
Epoch 72 Train Loss: 291.7548126578331
Epoch: 72 True Loss: 324.9861468076706
Epoch: 72 Val Acc: 0.3635
Epoch 73 Train Loss: 289.30712443590164
Epoch: 73 True Loss: 327.9882300198078
Epoch: 73 Val Acc: 0.345
Epoch 74 Train Loss: 287.7352554500103
Epoch: 74 True Loss: 323.94856107234955
Epoch: 74 Val Acc: 0.3655
Epoch 75 Train Loss: 286.5943013429642
Epoch: 75 True Loss: 327.4893528223038
Epoch: 75 Val Acc: 0.3525
Epoch 76 Train Loss: 286.9238627254963
Epoch: 76 True Loss: 318.8898640573025
Epoch: 76 Val Acc: 0.357
Epoch 77 Train Loss: 288.0267066061497
Epoch: 77 True Loss: 322.523873090744
Epoch: 77 Val Acc: 0.3535
Epoch 78 Train Loss: 286.2572523653507
Epoch: 78 True Loss: 319.3068498969078
Epoch: 78 Val Acc: 0.364
Epoch 79 Train Loss: 286.51041799783707
Epoch: 79 True Loss: 321.643941283226
Epoch: 79 Val Acc: 0.3555
Epoch 80 Train Loss: 286.78360176086426
Epoch: 80 True Loss: 316.24408888816833
Epoch: 80 Val Acc: 0.3625
Epoch 81 Train Loss: 285.0339029431343
Epoch: 81 True Loss: 318.48805129528046
Epoch: 81 Val Acc: 0.378
Epoch 82 Train Loss: 286.1496153473854
Epoch: 82 True Loss: 325.50569146871567
Epoch: 82 Val Acc: 0.3505
Epoch 83 Train Loss: 286.5226404070854
Epoch: 83 True Loss: 319.2652971148491
Epoch: 83 Val Acc: 0.3775
Epoch 84 Train Loss: 281.59637558460236
Epoch: 84 True Loss: 316.1158038377762
Epoch: 84 Val Acc: 0.365
Epoch 85 Train Loss: 276.99847999215126
Epoch: 85 True Loss: 310.3443373441696
Epoch: 85 Val Acc: 0.3885
Epoch 86 Train Loss: 279.62276577949524
Epoch: 86 True Loss: 318.8361465930939
Epoch: 86 Val Acc: 0.3525
